species,generations,hibernation,larva_diet,wing_length,wing_width,body_length,body_width
Adscita statices,1,larva,narrow_oligophag,14.5,6,11,3.5
Aglais urticae,2,adult,monophag,23.5,13.5,18.5,3.5
Anthocharis cardamines,1,pupa,oligophag,25.5,14.5,17.5,4
Apatura ilia,2,larva,oligophag,31,19,26,5
Apatura iris,1,larva,oligophag,23,20,27.5,5.5
Aphantopus hyperantus,1,larva,polyphag,21,14,14.5,3
Aporia crataegi,1,larva,polyphag,37,20,23.5,4.5
Araschnia levana,2,pupa,monophag,20,11,14,3
Argynnis adippe,1,egg,narrow_oligophag,31,19,23.5,5.5
Argynnis aglaja,1,larva,polyphag,30,18,24,5
Argynnis niobe,1,egg,monophag,28.5,16.5,22.5,4.5
Argynnis paphia,1,larva,polyphag,36.5,21,24.5,3.5
Aricia agestis,2,larva,polyphag,14.5,9,12,2.5
Aricia eumedon,1,egg,narrow_oligophag,16.5,10,12,3
Aricia nicias,1,larva,monophag,,,,
Boloria aquilonaris,1,larva,monophag,19.5,11,15,4
Boloria dia,3,larva,polyphag,20,11,16,3.5
Boloria euphrosyne,2,larva,narrow_oligophag,21,12,19,5
Boloria napaea,1,larva,polyphag,,,,
Boloria selene,1,larva,narrow_oligophag,,,,
Boloria thore,0.5,larva,monophag,,,,
Boloria titania,1,larva,monophag,23,14,21.5,5
Brenthis daphne,1,egg,monophag,,,,
Brenthis ino,1,larva,polyphag,20,13,19,4.5
Brintesia circe,1,larva,oligophag,38.5,23.5,22.5,5
Cacyreus marshalli,1,larva,monophag,,,,
Callophrys rubi,2,pupa,polyphag,14,9,11,3
Carcharodus alceae,2,larva,narrow_oligophag,17.5,10,15.5,4.5
Carcharodus floccifera,1,larva,monophag,17,9,15.5,4
Carcharodus lavatherae,1,larva,monophag,,,,
Carterocephalus palaemon,1,larva,oligophag,14.5,8,15,4
Celastrina argiolus,2,pupa,polyphag,16,9,11,2.5
Coenonympha arcania,1,larva,monophag,19.5,12,13.5,2.5
Coenonympha gardetta,1,larva,narrow_oligophag,,,,
Coenonympha glycerion,2,larva,monophag,18.5,11.5,12.5,2.5
