name_BDM,name_EMBT
Adscita statices,NA
Argynnis adippe,Fabriciana adippe 
Argynnis aglaja,Speyeria aglaja 
Argynnis niobe,Fabriciana niobe 
Aricia eumedon,Eumedonia eumedon
Colias croceus,Colias crocea 
Erebia alberganus,Erebia albergana 
Inachis io,Aglais io
Maculinea arion,Phengaris arion 
Ochlodes venata,Ochlodes sylvanus 
Plebeius argus,Plebejus argus 
Plebeius glandon,Agriades glandon 
Plebeius idas,Plebejus idas 
Plebeius optilete,Agriades optilete 
Plebeius orbitulus,Agriades orbitulus 
Polyommatus bellargus,Lysandra bellargus 
Polyommatus coridon,Lysandra coridon 
Polyommatus semiargus,Cyaniris semiargus 
Zygaena exulans,NA
Zygaena filipendulae,NA
Zygaena lonicerae,NA
Zygaena loti,NA
Zygaena purpuralis,NA
Zygaena transalpina,NA
Zygaena viciae,NA
