species;LHP
Aglais_urticae;Urtica dioica
Agriades_glandon_glandon;Vitaliana primufloria
Agriades_glandon_glandon;Androsace obtusifolia
Agriades_glandon_glandon;Androsace chamaejasme
Agriades_glandon_aquilo;Saxifraga aizoides
Agriades_glandon_aquilo;Saxifraga oppositifolia
Agriades_glandon_zullichi;Vitaliana primufloria
Agriades_pyrenaicus_pyrenaicus;Androsace villosa
Agriades_pyrenaicus_dardanus;Androsace villosa
Agrodiaetus_admetus;Onobrychis viciifolia
Agrodiaetus_admetus;Onobrychis caput gallii
Agrodiaetus_agenjoi;NA
Agrodiaetus_ainsae;Onobrychis sp
Agrodiaetus_amanda;Vicia sp
Agrodiaetus_amanda;Vicia cracca
Agrodiaetus_amanda;Vicia stenofolia
Agrodiaetus_amanda;Vicia villosa
Agrodiaetus_amanda;Vicia onobrychioides
Agrodiaetus_amanda;Vicia tetrasperma
Agrodiaetus_amanda;Vicia incana
Agrodiaetus_amanda;Vicia sibthorpii
Agrodiaetus_amanda;Vicia cassubica
Agrodiaetus_aroaniensis;Onobrychis arenaria
Agrodiaetus_damon;Onobrychis alba
Agrodiaetus_damon;Onobrychis montana
Agrodiaetus_damon;Onobrychis sp
Agrodiaetus_dolus_dolus;Onobrychis viciifolia
Agrodiaetus_dolus_virgilius;Onobrychis viciifolia
Agrodiaetus_escheri_escheri;Astragalus monspessulanus
Agrodiaetus_escheri_escheri;Astragalus sempervirens
Agrodiaetus_escheri_escheri;Astragalus exscapus
Agrodiaetus_escheri_escheri;Astragalus incanus
Agrodiaetus_escheri_splendens;Astragalus monspessulanus
Agrodiaetus_escheri_splendens;Astragalus spuneri
Agrodiaetus_fabressei;Onobrychis viciifolia
Agrodiaetus_galloi;NA
Agrodiaetus_humedasae;Onobrychis viciifolia
Agrodiaetus_iphigenia;Onobrychis alba
Agrodiaetus_nephohiptamenos;Onobrychis montana scardica
Agrodiaetus_pyrenaicus_pyrenaicus;Androsace villosa
Agrodiaetus_pyrenaicus_asturiensis;Androsace villosa
Agrodiaetus_pyrenaicus_dardanus;Androsace villosa
Agrodiaetus_ripartii_ripartii;Onobrychis viciifolia
Agrodiaetus_ripartii_ripartii;Onobrychis arenaria
Agrodiaetus_ripartii_ripartii;Onobrychis saxatalis
Agrodiaetus_ripartii_ripartii;Onobrychis alba
Agrodiaetus_ripartii_ripartii;Onobrychis montana
Agrodiaetus_thersites;Onobrychis caput gallii
Agrodiaetus_thersites;Onobrychis viciifolia
