species,volume_male,volume_female,voltinism,volume
Acasis appensata,9.30304770349325,8.61563457736785,1,8.61563457736785
Acasis viretata,10.2118704819766,15.7975826525572,1.5,15.7975826525572
Aglais urticae,,,2,146.946465968669
Agriades glandon glandon,23.0089368790395,14.6616081784011,1,14.6616081784011
Agrodiaetus admetus,41.6888190555232,21.6378849670559,1,21.6378849670559
Agrodiaetus ainsae,31.3604514291701,19.2525019181461,1,19.2525019181461
Agrodiaetus amanda,42.4920850627135,34.6599286711152,1,34.6599286711152
Agrodiaetus aroaniensis,30.4990751057189,19.8444644554159,1,19.8444644554159
Agrodiaetus damon,25.0280655455076,17.9131864913698,1,17.9131864913698
Agrodiaetus dolus dolus,46.6118100500026,31.6325688868207,1,31.6325688868207
Agrodiaetus escheri,32.1157961629918,24.6866134385271,1,24.6866134385271
Agrodiaetus fabressei,43.5625900019007,30.02187336734,1,30.02187336734
Agrodiaetus humedasae,27.6156504485381,21.2085896057841,1,21.2085896057841
Agrodiaetus iphigenia,20.6927320687134,14.8237092964607,1,14.8237092964607
Agrodiaetus pyrenaicus pyrenaicus,14.8670201768833,17.8957504172393,1,17.8957504172393
Agrodiaetus ripartii ripartii,37.9509895252911,25.7343122012991,1,25.7343122012991
Agrodiaetus thersites,26.9637304585767,18.3865822349257,2,18.3865822349257
Agrodiaetus violeta,31.4690749683073,25.2485823531896,1,25.2485823531896
Albulina orbitulus,18.7480847099367,17.3599989228841,1,17.3599989228841
Almeria kalischata,13.6549568091109,17.5299429226436,1.5,17.5299429226436
Amygdaloptera testaria,19.2531880771932,27.2093302431483,1,27.2093302431483
Anthocharis belia euphenoides,40.4710645710301,63.056120879867,1,63.056120879867
Anthocharis cardamines,62.9107035747302,86.8727851964275,1,86.8727851964275
Anthocharis damone,60.9151407940157,57.3575038914815,1,57.3575038914815
Anthocharis gruneri,48.1790531745761,23.6287777697782,1,23.6287777697782
Anthometra plumularia,9.22407237989902,7.10683548669212,1,7.10683548669212
Anticlea derivata,19.7700191470232,20.8730331598155,1,20.8730331598155
Anticollix sparsata,12.5797636905619,15.4214832377631,1,15.4214832377631
Antilurga alhambrata,16.1622138079994,14.3209942188862,1,14.3209942188862
Apatura ilia ilia,302.02900185684,267.737159808336,1.5,267.737159808336
Apatura iris,247.191200604559,264.83054167194,1,264.83054167194
