species,n_grids
Aglais_urticae,1822
Agriades_glandon_glandon,45
Agrodiaetus_admetus,109
Agrodiaetus_ainsae,35
Agrodiaetus_amanda,755
Agrodiaetus_aroaniensis,25
Agrodiaetus_damon,177
Agrodiaetus_dolus_dolus,33
Agrodiaetus_escheri,253
Agrodiaetus_fabressei,45
Agrodiaetus_humedasae,1
Agrodiaetus_iphigenia,4
Agrodiaetus_pyrenaicus_pyrenaicus,29
Agrodiaetus_ripartii_ripartii,105
Agrodiaetus_thersites,528
Agrodiaetus_violeta,8
Albulina_orbitulus,68
Anthocharis_belia_euphenoides,150
Anthocharis_cardamines,1845
Anthocharis_damone,26
Anthocharis_gruneri,47
Apatura_ilia_ilia,791
Apatura_iris,826
Apatura_metis,69
Aphantopus_hyperantus,1427
Aporia_crataegi,1286
Araschnia_levana,910
Archon_apollinus,12
Arethusana_arethusa_arethusa,389
Argynnis_adippe_adippe,1219
Argynnis_aglaja_aglaja,1463
Argynnis_elisa,11
Argynnis_laodice,163
Argynnis_niobe,886
Argynnis_pandora,552
Argynnis_paphia,1471
Aricia_agestis,1087
Aricia_artaxerxes,639
Aricia_morronensis,51
Artogeia_bryoniae,138
Artogeia_ergane,208
Artogeia_krueperi,87
Artogeia_mannii,363
Artogeia_napi,2044
Artogeia_rapae,2000
Boloria_aquilonaris,544
Boloria_graeca,40
Boloria_napaea,113
Boloria_pales_pales,98
Borbo_borbonica,7
Brenthis_daphne,559
Brenthis_hecate,350
Brenthis_ino,997
Cacyreus_marshalli,214
Callophrys_avis,90
Callophrys_rubi,1884
Carcharodus_alceae,1103
Carcharodus_boeticus,161
Carcharodus_flocciferus,429
Carcharodus_lavatherae_lavatherae,301
Carcharodus_orientalis,108
Carcharodus_stauderi,6
Carterocephalus_palaemon,800
Carterocephalus_silvicolus,348
Celastrina_argiolus,1890
Charaxes_jasius,279
Chazara_briseis,516
Chazara_prieuri,36
Chilades_trochylus,32
Clossiana_chariclea,21
Clossiana_dia,925
Clossiana_euphorysne,1275
Clossiana_freija,152
Clossiana_frigga,159
Clossiana_improba,4
Clossiana_polaris,18
Clossiana_selene,1381
Clossiana_thore_thore,78
Clossiana_titania_titania,190
Coenonympha_arcania,1177
Coenonympha_corinna,28
Coenonympha_dorus_dorus,234
Coenonympha_gardetta,65
Coenonympha_glycerion_glycerion,824
Coenonympha_hero,167
Coenonympha_leander_leander,51
Coenonympha_oedippus,63
Coenonympha_pamphilus,2023
Coenonympha_rhodopensis,62
Coenonympha_thyrsis,11
Coenonympha_tullia_tullia,777
Colias_alfacariensis,859
Colias_aurorina,18
Colias_caucasia,34
Colias_chrysotheme,57
Colias_crocea,1636
Colias_erate,249
Colias_hecla,21
Colias_hyale,1002
Colias_myrmidone,100
Colias_nastes,5
Colias_palaeno,466
Colias_phicomone,96
Colotis_evagore,11
Cupido_lorquinii,32
Cupido_minimus,1130
Cupido_osiris,258
Cyaniris_semiargus_semiargus,1372
Danaus_chrysippus,113
Danaus_plexippus,21
Elphinstonia_penia,22
Erebia_aethiopella,6
Erebia_aethiops,460
Erebia_alberganus,89
Erebia_calcaria,9
Erebia_cassioides,106
Erebia_christi,1
Erebia_claudina,7
Erebia_disa,37
Erebia_embla,148
Erebia_epiphron_silesiana,208
Erebia_epistygne,68
Erebia_eriphyle,35
Erebia_euryale_euryale,229
Erebia_flavofasciata,5
Erebia_gorge,126
Erebia_gorgone,17
Erebia_hispania,22
Erebia_lefebvrei_lefebvrei,28
Erebia_ligea,763
Erebia_manto_manto,109
Erebia_medusa_medusa,494
Erebia_melampus,57
Erebia_melas_schanerdae,52
Erebia_meolans_meolans,204
Erebia_mnestra,27
Erebia_montana_montana,47
Erebia_neoridas,61
Erebia_nivalis,12
Erebia_oeme_oeme,113
Erebia_orientalis,5
Erebia_ottomana,57
Erebia_palarica,16
Erebia_pandrose,201
Erebia_pharte_pharte,74
Erebia_pluto_pluto,58
Erebia_polaris,19
Erebia_pronoe_pronoe,93
Erebia_rhodopensis,18
Erebia_scipio,17
Erebia_sthennyo,11
Erebia_stirius,23
Erebia_styx_styx,25
Erebia_sudetica_sudetica,17
Erebia_triaria_triaria,125
Erebia_tyndarus,35
Erebia_zapateri,12
Erynnis_marloyi,48
Erynnis_tages,1291
Euchloe_ausonia,540
Euchloe_belemia,139
Euchloe_insolaris,22
Euchloe_tagis_tagis,119
Eumedonia_eumedon,618
Eurodryas_aurinia,826
Eurodryas_desfontainii,100
Everes_alcetas,283
Everes_argiades,726
Everes_decoloratus,129
Gegenes_nostrodamus,160
Gegenes_pumilio,126
Glaucopsyche_alexis,971
Glaucopsyche_melanops,241
Gonepteryx_cleopatra,501
Gonepteryx_farinosa,64
Gonepteryx_rhamni,1751
Hamearis_lucina,724
Hesperia_comma,1108
Heteropterus_morpheus,403
Hipparchia_alcyone,317
Hipparchia_aristaeus_aristaeus,25
Hipparchia_azorina,8
Hipparchia_cretica,11
Hipparchia_fagi,485
Hipparchia_mersina,4
Hipparchia_neomiris,14
Hipparchia_pellucida,11
Hipparchia_semele,1222
Hipparchia_syriaca,105
Hipparchia_volgenis,60
Hypodryas_cynthia,62
Hypodryas_iduna,22
Hypodryas_intermedia,34
Hypodryas_maturna,217
Hyponephele_lupina,236
Hyponephele_lycaon,508
Inachis_io,1657
Iolana_iolas,155
Iphiclides_podalirius,1117
Issoria_lathonia,1477
Kanetisa_circe,680
Kirinia_climene,12
Kirinia_roxelana,70
Kretania_eurypilus,4
Kretania_psylorita,4
Laeopsis_roboris,172
Lampides_boeticus,533
Lasiommata_maera_maera,1290
Lasiommata_megera,1551
Lasiommata_petropolitana,396
Leptidea_duponcheli,79
Leptidea_morsei,55
Leptidea_sinapis,1559
Leptotes_pirithous,415
Libythea_celtis,318
Limenitis_camilla,800
Limenitis_populi,706
Limenitis_reducta,666
Lopinga_achine,334
Lycaena_alciphron_alciphron,845
Lycaena_dispar,694
Lycaena_helle,171
Lycaena_hippothoe_hippothoe,955
Lycaena_ottomana,51
Lycaena_phlaeas,1968
Lycaena_thersamon,303
Lycaena_thetis,15
Lycaena_tityrus_tityrus,1017
Lycaena_virgaureae,1059
Lysandra_albicans,146
Lysandra_bellargus,997
Lysandra_coridon,845
Lysandra_hispana,182
Maculinea_alcon,511
Maculinea_arion_arion,754
Maculinea_nausithous,313
Maculinea_telejus,348
Maniola_jurtina_jurtina,1913
Maniola_nurag,13
Maniola_telmessia,17
Melanargia_arge,55
Melanargia_galathea,1223
Melanargia_ines,179
Melanargia_lachesis,209
Melanargia_larissa,108
Melanargia_occitanica_occitanica,210
Melanargia_russiae_cleanthe,202
Meleageria_daphnis,450
Melitaea_aetherica,59
Melitaea_arduinna,30
Melitaea_cinxia,1161
Melitaea_diamina_diamina,576
Melitaea_didyma_didyma,1017
Melitaea_phoebe_phoebe,908
Melitaea_trivia_trivia,409
Mellicta_asteria,17
Mellicta_athalia_athalia,1475
Mellicta_aurelia,312
Mellicta_britomartis,120
Mellicta_deione_deione,207
Mellicta_parthenoides,277
Mellicta_varia,37
Muschampia_cribrellum,7
Muschampia_proto,240
Muschmpia_tessellum,36
Neohipparchia_fatua,65
Neohipparchia_statilinus_statilinus,587
Neolysandra_coelestina,4
Neptis_rivularis,184
Neptis_sappho,138
Nymphalis_antiopa,1224
Nymphalis_polychlorus,1301
Nymphalis_vaualbum,25
Nymphalis_xanthomelas,119
Ochlodes_venatus,1510
Oeneis_bore,19
Oeneis_glacialis,52
Oeneis_jutta,238
Oeneis_norna,60
Papilio_alexanor,65
Papilio_hospiton,23
Papilio_machaon_gorganus,1747
Pararge_aegeria_aegeria,1686
Parnassius_apollo,355
Parnassius_mnemosyne_athene,530
Parnassius_phoebus,53
Pelopidas_thrax,2
Pieris_brassicae,1999
Plebejus_argus_argus,1707
Plebejus_argyrognomon,568
Plebejus_idas_idas,1033
Plebejus_loewii,8
Plebejus_pylaon_sephirus,87
Plebicula_dorylas,436
Plebicula_golgus_golgus,5
Plebicula_nivescens,84
Polygonia_c-album,1630
Polygonia_egea,154
Polyommatus_eros,112
Polyommatus_icarus_icarus,1975
Pontia_callidice,55
Pontia_chloridice,19
Pontia_daplidice,1415
Proclossiana_eunomia_eunomia,390
Proterebia_afra,11
Pseudaricia_nicias,110
Pseudochazara_anthelea_anthelea,53
Pseudochazara_cingovskii,2
Pseudochazara_geyeri,10
Pseudochazara_graeca_graeca,30
Pseudochazara_mniszechii,13
Pseudochazara_orestes,4
Pseudophilotes_abencerragus,76
Pseudophilotes_barbagiae,2
Pseudophilotes_baton,466
Pseudophilotes_bavius_macedonicus,46
Pseudophilotes_panoptes,225
Pseudophilotes_vicrama,378
Pseudotergumia_fidia,210
Pyrgus_alveus_alveus,579
Pyrgus_andromedae,90
Pyrgus_armoricanus,439
Pyrgus_cacaliae,71
Pyrgus_carlinae_carlinae,49
Pyrgus_carlinae_cirsii,146
Pyrgus_carthami_carthami,301
Pyrgus_centaureae,139
Pyrgus_cinarae,28
Pyrgus_foulquieri,42
Pyrgus_malvae,1442
Pyrgus_onopordi,203
Pyrgus_serratulae,404
Pyrgus_sidae_sidae,106
Pyrgus_warrenensis,24
Pyronia_bathseba,242
Pyronia_cecilia,428
Pyronia_tithonus,865
Quercusia_quercus,1261
Satyrium_acaciae,535
Satyrium_esculi,259
Satyrium_ilicis,932
Satyrium_ledereri,1
Satyrium_pruni,664
Satyrium_spini,815
Satyrium_w-album,901
Satyrus_actaea,173
Satyrus_ferula,230
Scolitantides_orion_lariana,400
Spialia_orbifer,202
Spialia_phlomidis,51
Spialia_sertorius_setorius,711
Tarucus_balcanicus,31
Tarucus_theophrastus,13
Thecla_betulae,968
Thymelicus_acteon,837
Thymelicus_hyrax,10
Thymelicus_lineola,1388
Thymelicus_sylvestris,1320
Tomares_ballus,176
Tomares_nogelii,5
Ultraaricia_anteros,60
Vacciniia_opilete,593
Vanessa_atalanta,1868
Vanessa_cardui,1930
Vanessa_virginiensis,39
Ypthima_asterope,7
Zegris_eupheme,114
Zerynthia_cerisy,71
Zerynthia_polyxena,259
Zerynthia_rumina,262
Zizeeria_knysna,85
